feature,importance,feature_type,importance_rank,importance_percentile
title_length_x_category,0.009268105,categorical,1.0,0.0025252525252525255
word_count_x_category,0.0065430775,categorical,2.0,0.005050505050505051
emb_187,0.0062820865,embedding,3.0,0.007575757575757576
emb_313,0.0053333575,embedding,4.0,0.010101010101010102
emb_245,0.004526751,embedding,5.0,0.012626262626262626
emb_152,0.0044945246,embedding,6.0,0.015151515151515152
emb_67,0.0044680196,embedding,7.0,0.017676767676767676
emb_161,0.004464572,embedding,8.0,0.020202020202020204
emb_143,0.004397057,embedding,9.0,0.022727272727272728
emb_180,0.004270668,embedding,10.0,0.025252525252525252
emb_110,0.0042411527,embedding,11.0,0.027777777777777776
emb_141,0.004097705,embedding,12.0,0.030303030303030304
emb_193,0.004054977,embedding,13.0,0.03282828282828283
emb_70,0.0040321914,embedding,14.0,0.03535353535353535
emb_154,0.0040135123,embedding,15.0,0.03787878787878788
category_enc,0.0039433567,categorical,16.0,0.04040404040404041
emb_256,0.0039054963,embedding,17.0,0.04292929292929293
emb_69,0.0038961167,embedding,18.0,0.045454545454545456
emb_157,0.0038803632,embedding,19.0,0.047979797979797977
emb_233,0.0038418735,embedding,20.0,0.050505050505050504
emb_65,0.0036338544,embedding,21.0,0.05303030303030303
title_length,0.0035790878,numerical,22.0,0.05555555555555555
emb_14,0.003562425,embedding,23.0,0.05808080808080808
emb_220,0.00351348,embedding,24.0,0.06060606060606061
emb_123,0.0034582173,embedding,25.0,0.06313131313131314
emb_228,0.0034415722,embedding,26.0,0.06565656565656566
emb_173,0.003437452,embedding,27.0,0.06818181818181818
emb_158,0.0033167475,embedding,28.0,0.0707070707070707
emb_172,0.0032858292,embedding,29.0,0.07323232323232323
emb_304,0.003282435,embedding,30.0,0.07575757575757576
emb_356,0.0032734186,embedding,31.0,0.07828282828282829
emb_21,0.0031952716,embedding,32.0,0.08080808080808081
emb_340,0.0031729674,embedding,33.0,0.08333333333333333
emb_277,0.0031529332,embedding,34.0,0.08585858585858586
emb_209,0.0031255316,embedding,35.0,0.08838383838383838
emb_135,0.0031247153,embedding,36.0,0.09090909090909091
emb_104,0.003108804,embedding,37.0,0.09343434343434344
emb_263,0.0031059147,embedding,38.0,0.09595959595959595
emb_208,0.003101459,embedding,39.0,0.09848484848484848
emb_221,0.0030888296,embedding,40.0,0.10101010101010101
emb_196,0.0030779077,embedding,41.0,0.10353535353535354
emb_109,0.003060888,embedding,42.0,0.10606060606060606
emb_160,0.0030571297,embedding,43.0,0.10858585858585859
emb_222,0.003025199,embedding,44.0,0.1111111111111111
emb_5,0.0030163121,embedding,45.0,0.11363636363636363
emb_344,0.003004349,embedding,46.0,0.11616161616161616
emb_68,0.002996111,embedding,47.0,0.11868686868686869
emb_120,0.002989624,embedding,48.0,0.12121212121212122
has_quotes,0.0029868225,numerical,49.0,0.12373737373737374
emb_7,0.0029740867,embedding,50.0,0.12626262626262627
emb_380,0.0029532872,embedding,51.0,0.12878787878787878
emb_108,0.0029353665,embedding,52.0,0.13131313131313133
emb_122,0.002912178,embedding,53.0,0.13383838383838384
emb_183,0.002899502,embedding,54.0,0.13636363636363635
emb_163,0.002893549,embedding,55.0,0.1388888888888889
emb_214,0.0028803735,embedding,56.0,0.1414141414141414
emb_217,0.0028763418,embedding,57.0,0.14393939393939395
emb_225,0.002868217,embedding,58.0,0.14646464646464646
emb_250,0.0028608716,embedding,59.0,0.14898989898989898
emb_165,0.0028493698,embedding,60.0,0.15151515151515152
has_quotes_x_category,0.002846675,categorical,61.0,0.15404040404040403
emb_44,0.0028422272,embedding,62.0,0.15656565656565657
emb_131,0.0028246685,embedding,63.0,0.1590909090909091
emb_379,0.0028104424,embedding,64.0,0.16161616161616163
emb_36,0.0028029184,embedding,65.0,0.16414141414141414
emb_83,0.0027895377,embedding,66.0,0.16666666666666666
emb_229,0.0027852468,embedding,67.0,0.1691919191919192
emb_378,0.0027832268,embedding,68.0,0.1717171717171717
emb_372,0.0027714574,embedding,69.0,0.17424242424242425
emb_238,0.0027666984,embedding,70.0,0.17676767676767677
emb_270,0.0027639493,embedding,71.0,0.17929292929292928
emb_284,0.0027628308,embedding,72.0,0.18181818181818182
emb_265,0.002756252,embedding,73.0,0.18434343434343434
emb_213,0.0027550003,embedding,74.0,0.18686868686868688
emb_130,0.0027524938,embedding,75.0,0.1893939393939394
emb_27,0.0027412812,embedding,76.0,0.1919191919191919
emb_226,0.0027327773,embedding,77.0,0.19444444444444445
emb_76,0.002731601,embedding,78.0,0.19696969696969696
emb_375,0.0027309924,embedding,79.0,0.1994949494949495
emb_240,0.002721601,embedding,80.0,0.20202020202020202
emb_273,0.0027153397,embedding,81.0,0.20454545454545456
emb_336,0.0027149452,embedding,82.0,0.20707070707070707
emb_59,0.0027140663,embedding,83.0,0.20959595959595959
title_features_combined,0.0027124751,numerical,84.0,0.21212121212121213
emb_166,0.0027113466,embedding,85.0,0.21464646464646464
emb_60,0.0027087382,embedding,86.0,0.21717171717171718
emb_49,0.002694264,embedding,87.0,0.2196969696969697
emb_72,0.002683531,embedding,88.0,0.2222222222222222
emb_177,0.002682323,embedding,89.0,0.22474747474747475
emb_231,0.0026805482,embedding,90.0,0.22727272727272727
emb_337,0.0026749226,embedding,91.0,0.2297979797979798
title_word_count,0.0026503217,numerical,92.0,0.23232323232323232
emb_118,0.002645833,embedding,93.0,0.23484848484848486
emb_194,0.0026453899,embedding,94.0,0.23737373737373738
emb_329,0.0026377745,embedding,95.0,0.2398989898989899
emb_132,0.0026368639,embedding,96.0,0.24242424242424243
emb_105,0.002635755,embedding,97.0,0.24494949494949494
emb_302,0.0026331441,embedding,98.0,0.2474747474747475
emb_307,0.0026297753,embedding,99.0,0.25
emb_93,0.0026247732,embedding,100.0,0.25252525252525254
emb_64,0.0026228898,embedding,101.0,0.255050505050505
emb_254,0.0026226237,embedding,102.0,0.25757575757575757
emb_79,0.002622399,embedding,103.0,0.2601010101010101
emb_343,0.0026184458,embedding,104.0,0.26262626262626265
emb_311,0.0026087712,embedding,105.0,0.26515151515151514
emb_292,0.0026077577,embedding,106.0,0.2676767676767677
emb_149,0.002607423,embedding,107.0,0.2702020202020202
emb_341,0.0026068995,embedding,108.0,0.2727272727272727
emb_85,0.0025975374,embedding,109.0,0.27525252525252525
emb_31,0.002593042,embedding,110.0,0.2777777777777778
emb_296,0.0025922898,embedding,111.0,0.2803030303030303
emb_368,0.0025891492,embedding,112.0,0.2828282828282828
emb_305,0.0025860209,embedding,113.0,0.28535353535353536
emb_354,0.0025843375,embedding,114.0,0.2878787878787879
