feature,importance
title_length_x_category,0.009268105
word_count_x_category,0.0065430775
emb_187,0.0062820865
emb_313,0.0053333575
emb_245,0.004526751
emb_152,0.0044945246
emb_67,0.0044680196
emb_161,0.004464572
emb_143,0.004397057
emb_180,0.004270668
emb_110,0.0042411527
emb_141,0.004097705
emb_193,0.004054977
emb_70,0.0040321914
emb_154,0.0040135123
category_enc,0.0039433567
emb_256,0.0039054963
emb_69,0.0038961167
emb_157,0.0038803632
emb_233,0.0038418735
emb_65,0.0036338544
title_length,0.0035790878
emb_14,0.003562425
emb_220,0.00351348
emb_123,0.0034582173
emb_228,0.0034415722
emb_173,0.003437452
emb_158,0.0033167475
emb_172,0.0032858292
emb_304,0.003282435
emb_356,0.0032734186
emb_21,0.0031952716
emb_340,0.0031729674
emb_277,0.0031529332
emb_209,0.0031255316
emb_135,0.0031247153
emb_104,0.003108804
emb_263,0.0031059147
emb_208,0.003101459
emb_221,0.0030888296
emb_196,0.0030779077
emb_109,0.003060888
emb_160,0.0030571297
emb_222,0.003025199
emb_5,0.0030163121
emb_344,0.003004349
emb_68,0.002996111
emb_120,0.002989624
has_quotes,0.0029868225
emb_7,0.0029740867
emb_380,0.0029532872
emb_108,0.0029353665
emb_122,0.002912178
emb_183,0.002899502
emb_163,0.002893549
emb_214,0.0028803735
emb_217,0.0028763418
emb_225,0.002868217
emb_250,0.0028608716
emb_165,0.0028493698
has_quotes_x_category,0.002846675
emb_44,0.0028422272
emb_131,0.0028246685
emb_379,0.0028104424
emb_36,0.0028029184
emb_83,0.0027895377
emb_229,0.0027852468
emb_378,0.0027832268
emb_372,0.0027714574
emb_238,0.0027666984
emb_270,0.0027639493
emb_284,0.0027628308
emb_265,0.002756252
emb_213,0.0027550003
emb_130,0.0027524938
emb_27,0.0027412812
emb_226,0.0027327773
emb_76,0.002731601
emb_375,0.0027309924
emb_240,0.002721601
emb_273,0.0027153397
emb_336,0.0027149452
emb_59,0.0027140663
title_features_combined,0.0027124751
emb_166,0.0027113466
emb_60,0.0027087382
emb_49,0.002694264
emb_72,0.002683531
emb_177,0.002682323
emb_231,0.0026805482
emb_337,0.0026749226
title_word_count,0.0026503217
emb_118,0.002645833
emb_194,0.0026453899
emb_329,0.0026377745
emb_132,0.0026368639
emb_105,0.002635755
emb_302,0.0026331441
emb_307,0.0026297753
emb_93,0.0026247732
emb_64,0.0026228898
emb_254,0.0026226237
emb_79,0.002622399
emb_343,0.0026184458
emb_311,0.0026087712
emb_292,0.0026077577
emb_149,0.002607423
emb_341,0.0026068995
emb_85,0.0025975374
emb_31,0.002593042
emb_296,0.0025922898
emb_368,0.0025891492
emb_305,0.0025860209
emb_354,0.0025843375
emb_278,0.002583759
emb_227,0.0025836723
emb_267,0.0025766424
emb_369,0.0025749805
emb_252,0.0025726352
emb_35,0.0025678491
emb_257,0.0025662924
emb_339,0.0025627392
emb_38,0.0025584507
emb_321,0.0025583599
emb_46,0.0025538818
emb_3,0.0025519466
emb_301,0.002551784
emb_283,0.002551029
emb_371,0.0025506013
emb_92,0.0025443828
emb_8,0.0025343918
emb_210,0.002529651
emb_115,0.0025282453
emb_251,0.0025263343
has_question,0.002526035
has_colon_x_category,0.0025248597
emb_309,0.0025233068
emb_361,0.0025220662
emb_184,0.0025186252
emb_281,0.002518242
emb_258,0.0025127225
emb_153,0.002511785
emb_128,0.0025112948
has_colon,0.0025107628
emb_224,0.0025094547
emb_30,0.0025028319
emb_239,0.0025023625
emb_80,0.0025004323
emb_318,0.0024989918
emb_150,0.002496681
emb_358,0.0024938849
emb_382,0.0024846515
emb_249,0.002480958
emb_55,0.0024803528
emb_101,0.0024704204
emb_82,0.0024698884
emb_198,0.0024694384
emb_58,0.0024693394
emb_138,0.002463842
emb_116,0.002462997
emb_315,0.0024498305
emb_280,0.0024446417
emb_317,0.0024438407
emb_129,0.002442903
emb_61,0.0024414766
emb_274,0.002436901
emb_335,0.0024356216
emb_370,0.002428658
emb_98,0.0024265784
emb_314,0.002426004
emb_176,0.0024253211
emb_326,0.0024243838
emb_99,0.002424017
emb_272,0.0024181218
emb_293,0.00241608
emb_25,0.002415604
emb_137,0.0024108738
emb_178,0.0024089343
emb_322,0.0024017855
emb_91,0.0023966327
emb_41,0.0023961512
emb_316,0.0023949693
emb_89,0.0023924368
emb_142,0.0023920308
emb_203,0.0023919267
emb_168,0.0023877337
emb_148,0.0023849728
emb_323,0.002384944
emb_303,0.0023848698
emb_246,0.0023840393
emb_367,0.002381147
emb_133,0.002379201
emb_114,0.002378185
emb_362,0.00237681
emb_247,0.0023758234
emb_106,0.0023752348
emb_350,0.0023730476
emb_376,0.0023717743
emb_295,0.0023655377
emb_306,0.0023589856
emb_288,0.0023552494
emb_248,0.002353047
emb_189,0.002350014
emb_66,0.0023483208
emb_94,0.0023469238
emb_287,0.0023456602
emb_11,0.0023444737
emb_212,0.002343236
emb_159,0.0023422663
emb_40,0.0023390357
emb_215,0.00233818
emb_351,0.002335508
emb_200,0.002334202
emb_17,0.0023336923
emb_43,0.0023331498
emb_290,0.0023322548
emb_218,0.002331862
emb_81,0.002331168
emb_139,0.0023289674
emb_136,0.0023204081
emb_52,0.0023194815
emb_286,0.0023194673
emb_261,0.002319358
emb_298,0.0023187557
emb_192,0.0023181788
emb_345,0.00231734
emb_63,0.0023167424
emb_338,0.0023116006
emb_374,0.0023112204
emb_112,0.0023081114
emb_363,0.002307807
emb_275,0.0023069724
emb_117,0.002304883
emb_365,0.0023041675
emb_219,0.0023009786
emb_282,0.0022995707
emb_347,0.0022995232
emb_271,0.0022994636
emb_162,0.0022937495
emb_56,0.002290436
emb_84,0.0022898724
emb_276,0.002288087
emb_111,0.0022872968
emb_181,0.0022868395
emb_262,0.0022831394
emb_175,0.0022819866
emb_279,0.0022808933
emb_377,0.0022797904
emb_308,0.0022773359
emb_145,0.0022756087
emb_216,0.002274482
emb_164,0.0022739784
emb_113,0.0022730862
emb_179,0.0022714736
emb_190,0.0022700576
emb_349,0.0022676361
emb_119,0.0022627662
emb_255,0.0022616494
emb_297,0.0022616296
emb_234,0.0022587199
emb_97,0.0022585213
emb_74,0.0022561848
emb_191,0.002254302
emb_201,0.0022536998
emb_19,0.0022522477
emb_73,0.0022493126
emb_23,0.0022471307
emb_260,0.0022462977
emb_289,0.0022456786
