feature,importance
interaction_cat_enc_x_pca_0,0.048079565
category_enc,0.017047439
title_pca_0,0.016933927
title_pca_2,0.016147083
title_pca_1,0.01436341
title_pca_6,0.010947001
title_pca_17,0.010692682
has_exclamation,0.0093067605
title_abstract_ratio,0.009166165
title_pca_7,0.009160355
title_pca_8,0.008746817
title_pca_63,0.008658895
title_pca_14,0.00862249
avg_word_length,0.008580715
title_pca_88,0.008570998
title_pca_47,0.008470483
title_pca_4,0.008317802
title_pca_3,0.008250133
title_pca_20,0.008115839
title_pca_66,0.008102292
title_pca_31,0.008101481
has_number,0.007985406
title_pca_49,0.007983861
title_pca_83,0.007969817
title_pca_57,0.007964485
abstract_word_count,0.007950089
title_pca_56,0.007935894
title_pca_81,0.00793335
title_pca_62,0.007868619
editorial_headline_score,0.007849418
title_word_count,0.007842555
title_pca_34,0.007828687
title_pca_85,0.007763281
title_pca_60,0.0077555035
title_pca_19,0.0077520376
title_pca_32,0.0077336356
title_pca_61,0.00772556
editorial_readability_score,0.007705951
title_pca_9,0.007699313
title_pca_26,0.0076806815
title_pca_94,0.0076303463
title_pca_10,0.00759374
title_upper_ratio,0.0075865616
title_pca_12,0.0075858994
interaction_read_ease_x_upper_ratio,0.007561905
has_dash,0.0075565567
abstract_length,0.0075416192
title_pca_25,0.00749034
title_pca_58,0.007442712
title_pca_41,0.007423518
title_pca_35,0.007410521
title_pca_91,0.0074091814
interaction_question_x_number,0.007378273
title_pca_96,0.0073767425
title_pca_44,0.0073381844
title_pca_87,0.007337676
title_pca_74,0.0073314416
title_pca_53,0.007321919
title_pca_37,0.007316341
title_pca_70,0.007316216
title_pca_5,0.0072950036
title_pca_68,0.0072832108
title_reading_ease,0.0072806785
interaction_avg_word_len_x_number,0.0072279447
title_pca_46,0.007223714
interaction_word_count_x_abstract,0.0072149234
title_pca_89,0.007211934
title_pca_78,0.0072088037
title_pca_42,0.0071916273
title_pca_65,0.007184305
title_pca_73,0.007149833
title_pca_13,0.0071263094
title_pca_50,0.007123608
title_length,0.0071201124
title_pca_23,0.0071199266
title_pca_21,0.0071172104
title_pca_52,0.007113703
title_pca_71,0.0071001616
title_pca_28,0.0070899623
title_pca_92,0.007073298
title_pca_64,0.007056805
title_pca_82,0.007043191
title_pca_69,0.007031902
title_pca_11,0.007002303
title_pca_76,0.0069922605
title_pca_67,0.0069772396
title_pca_90,0.0069584
title_pca_16,0.006957189
title_pca_98,0.006951037
title_caps_words,0.0069447556
title_pca_38,0.006938453
title_pca_22,0.006935689
title_pca_30,0.0069177165
title_pca_18,0.0069101104
too_long_title,0.006869064
title_pca_80,0.0068612755
title_pca_40,0.006853151
title_pca_15,0.0068365647
title_pca_79,0.006828169
title_pca_97,0.006766537
title_pca_95,0.0067654937
title_pca_39,0.0067279926
title_pca_99,0.006708051
title_pca_54,0.006703048
title_pca_84,0.006670482
title_pca_93,0.0066620666
title_pca_55,0.006589414
title_pca_77,0.006582941
title_pca_59,0.0065824734
title_pca_43,0.0065561654
title_pca_24,0.006501401
title_pca_86,0.0064940783
title_pca_33,0.006489869
title_pca_27,0.0064616334
title_pca_36,0.006443427
abstract_reading_ease,0.006424529
title_pca_75,0.006279109
title_pca_72,0.0062665795
has_colon,0.0062416717
title_pca_45,0.0062391167
title_pca_29,0.006218662
title_pca_48,0.006151516
has_question,0.005975269
title_pca_51,0.0059401887
suboptimal_word_count,0.0057561975
has_quotes,0.0052203294
has_abstract,0.0
needs_readability_improvement,0.0
